e128e60,wutt0019,7 days ago,Merge branch 'main' into docs/wutt019/user-research-p1/sitemap
c3d164f,wutt0019,7 days ago,Merge branch 'main' into docs/wutt019/user-research-p1/project-proposal
0af000f,wutt0019,7 days ago,Update of Project Directory (Added PR Roster)
118c249,wutt0019,7 days ago,Update of documents (Sitemap)
fc2a1a4,wutt0019,7 days ago,Update of documents (Project Proposal)
1bce329,wutt0019,9 days ago,Updated Project Directory to include suitable subdirectories for deliverables.
c429475,lewi0454,10 days ago,Merge pull request #4 from wutt0019/docs/wutt0019/changes-persona-draft
7b51e5f,lewi0454,10 days ago,Merge branch 'main' into docs/wutt0019/changes-persona-draft
0427abe,wutt0019,10 days ago,Merge pull request #2 from wutt0019/docs/puja0009/edited-persona-branch
9de51be,wutt0019,10 days ago,Merge branch 'main' into docs/puja0009/edited-persona-branch
c007020,puja0009,10 days ago,Merge pull request #3 from wutt0019/docs/lewi0454/updated-personas-draft
fb8fdb3,wutt0019,10 days ago,docs(persona-drafts.md): Added FAN
60573b4,lewi0454,10 days ago,docs(persona-draft): Added FAN to persona-drafts
0a1ddba,Kazaar,10 days ago,docs(persona-drafts.md): Added FAN
ef99392,wutt0019,10 days ago,Merge pull request #1 from wutt0019/docs/wutt0019/added-persona-draft
0620059,wutt0019,10 days ago,docs(persona-draft): Added persona draft
34ab1d0,wutt0019,10 days ago,Initial Commit
be9fcf4,wutt0019,10 days ago,Initial commit
